         ps       /top_tb/cin   /top_tb/X     /top_tb/result        
          delta      /top_tb/sel         /top_tb/Y                  
          0  +0             U UU UUUUUUUU UUUUUUUU UUUUUUUUU 
          0  +1             1 11 00000001 11111000 UUUUUUUUU 
          0  +4             1 11 00000001 11111000 0UUUUUUUU 
          0  +5             1 11 00000001 11111000 0ZZZZZZZZ 
          0 +11             1 11 00000001 11111000 000000001 
    5000000  +1             1 11 00000001 11111001 000000001 
    5000000 +11             1 11 00000001 11111001 000000010 
   10000000  +1             1 11 00000001 11111010 000000010 
   10000000  +9             1 11 00000001 11111010 000001000 
   10000000 +12             1 11 00000001 11111010 000000100 
   15000000  +1             1 11 00000001 11111011 000000100 
   15000000 +12             1 11 00000001 11111011 000001000 
   20000000  +1             0 11 11111111 11111100 000001000 
   20000000  +6             0 11 11111111 11111100 100001000 
   20000000  +7             0 11 11111111 11111100 110000000 
   20000000 +10             0 11 11111111 11111100 100100000 
   20000000 +12             0 11 11111111 11111100 111110000 
   25000000  +1             1 11 11111111 11111101 111110000 
   25000000 +12             1 11 11111111 11111101 111100000 
   30000000  +1             0 11 11111111 11111110 111100000 
   30000000 +10             0 11 11111111 11111110 110000000 
   30000000 +13             0 11 11111111 11111110 111000000 
   35000000  +1             1 11 11111111 11111111 111000000 
   35000000 +13             1 11 11111111 11111111 110000000 
   40000000  +1             1 00 00000001 00111111 110000000 
   40000000  +2             1 00 00000001 00111111 100000000 
   40000000  +3             1 00 00000001 00111111 111111110 
   40000000  +4             1 00 00000001 00111111 100111100 
   40000000  +5             1 00 00000001 00111111 000111000 
   40000000  +6             1 00 00000001 00111111 000110000 
   40000000  +7             1 00 00000001 00111111 000100000 
   40000000  +8             1 00 00000001 00111111 000000000 
   40000000  +9             1 00 00000001 00111111 001000000 
   50000000  +1             1 01 00000001 00111111 001000000 
   50000000  +4             1 01 00000001 00111111 001000001 
   60000000  +1             1 10 11111001 00000001 001000001 
   60000000  +3             1 10 11111001 00000001 010111001 
   60000000  +4             1 10 11111001 00000001 111111000 
   65000000  +1             1 10 01111111 00000001 111111000 
   65000000  +3             1 10 01111111 00000001 101111110 
   65000000  +4             1 10 01111111 00000001 001111110 
