         ps       /delay_tb/rst       /delay_tb/din_i                  
          delta     /delay_tb/ena         /delay_tb/din_iMinus         
                      /delay_tb/clk                                    
                               /delay_tb/din                           
          0  +0               U U U UUUUUUUU UUUUUUUU UUUUUUUU 
          0  +1               1 0 0 00000000 UUUUUUUU UUUUUUUU 
          0  +2               1 0 0 00000000 00000000 UUUUUUUU 
          0  +3               1 0 0 00000000 00000000 00000000 
    5000000  +1               1 0 1 00000000 00000000 00000000 
   10000000  +1               0 0 0 00000001 00000000 00000000 
   10000000  +2               0 0 0 00000001 00000001 00000000 
   15000000  +1               0 0 1 00000001 00000001 00000000 
   20000000  +1               0 1 0 00000010 00000001 00000000 
   20000000  +2               0 1 0 00000010 00000010 00000000 
   25000000  +1               0 1 1 00000010 00000010 00000000 
   25000000  +3               0 1 1 00000010 00000010 00000010 
   30000000  +1               0 1 0 00000011 00000010 00000010 
   30000000  +2               0 1 0 00000011 00000011 00000010 
   35000000  +1               0 1 1 00000011 00000011 00000010 
   35000000  +3               0 1 1 00000011 00000011 00000011 
   40000000  +1               0 1 0 00000100 00000011 00000011 
   40000000  +2               0 1 0 00000100 00000100 00000011 
   45000000  +1               0 1 1 00000100 00000100 00000011 
   45000000  +3               0 1 1 00000100 00000100 00000100 
   50000000  +1               0 1 0 00000101 00000100 00000100 
   50000000  +2               0 1 0 00000101 00000101 00000100 
   55000000  +1               0 1 1 00000101 00000101 00000100 
   55000000  +3               0 1 1 00000101 00000101 00000101 
   60000000  +1               0 1 0 00000110 00000101 00000101 
   60000000  +2               0 1 0 00000110 00000110 00000101 
   65000000  +1               0 1 1 00000110 00000110 00000101 
   65000000  +3               0 1 1 00000110 00000110 00000110 
   70000000  +1               0 1 0 00000111 00000110 00000110 
   70000000  +2               0 1 0 00000111 00000111 00000110 
   75000000  +1               0 1 1 00000111 00000111 00000110 
   75000000  +3               0 1 1 00000111 00000111 00000111 
   80000000  +1               0 1 0 00001000 00000111 00000111 
   80000000  +2               0 1 0 00001000 00001000 00000111 
   85000000  +1               0 1 1 00001000 00001000 00000111 
   85000000  +3               0 1 1 00001000 00001000 00001000 
   90000000  +1               0 1 0 00001001 00001000 00001000 
   90000000  +2               0 1 0 00001001 00001001 00001000 
   95000000  +1               0 1 1 00001001 00001001 00001000 
   95000000  +3               0 1 1 00001001 00001001 00001001 
  100000000  +1               0 1 0 00001010 00001001 00001001 
  100000000  +2               0 1 0 00001010 00001010 00001001 
  105000000  +1               0 1 1 00001010 00001010 00001001 
  105000000  +3               0 1 1 00001010 00001010 00001010 
  110000000  +1               0 1 0 00001011 00001010 00001010 
  110000000  +2               0 1 0 00001011 00001011 00001010 
  115000000  +1               0 1 1 00001011 00001011 00001010 
  115000000  +3               0 1 1 00001011 00001011 00001011 
  120000000  +1               0 1 0 00000000 00001011 00001011 
  120000000  +2               0 1 0 00000000 00000000 00001011 
  125000000  +1               0 1 1 00000000 00000000 00001011 
  125000000  +3               0 1 1 00000000 00000000 00000000 
  130000000  +1               0 1 0 00000001 00000000 00000000 
  130000000  +2               0 1 0 00000001 00000001 00000000 
  135000000  +1               0 1 1 00000001 00000001 00000000 
  135000000  +3               0 1 1 00000001 00000001 00000001 
  140000000  +1               0 1 0 00000010 00000001 00000001 
  140000000  +2               0 1 0 00000010 00000010 00000001 
  145000000  +1               0 1 1 00000010 00000010 00000001 
  145000000  +3               0 1 1 00000010 00000010 00000010 
  150000000  +1               0 1 0 00000011 00000010 00000010 
  150000000  +2               0 1 0 00000011 00000011 00000010 
  155000000  +1               0 1 1 00000011 00000011 00000010 
  155000000  +3               0 1 1 00000011 00000011 00000011 
  160000000  +1               0 1 0 00000100 00000011 00000011 
  160000000  +2               0 1 0 00000100 00000100 00000011 
  165000000  +1               0 1 1 00000100 00000100 00000011 
  165000000  +3               0 1 1 00000100 00000100 00000100 
  170000000  +1               0 1 0 00000101 00000100 00000100 
  170000000  +2               0 1 0 00000101 00000101 00000100 
  175000000  +1               0 1 1 00000101 00000101 00000100 
  175000000  +3               0 1 1 00000101 00000101 00000101 
  180000000  +1               0 1 0 00000110 00000101 00000101 
  180000000  +2               0 1 0 00000110 00000110 00000101 
  185000000  +1               0 1 1 00000110 00000110 00000101 
  185000000  +3               0 1 1 00000110 00000110 00000110 
  190000000  +1               0 1 0 00000111 00000110 00000110 
  190000000  +2               0 1 0 00000111 00000111 00000110 
  195000000  +1               0 1 1 00000111 00000111 00000110 
  195000000  +3               0 1 1 00000111 00000111 00000111 
  200000000  +1               0 1 0 00001000 00000111 00000111 
  200000000  +2               0 1 0 00001000 00001000 00000111 
  205000000  +1               0 1 1 00001000 00001000 00000111 
  205000000  +3               0 1 1 00001000 00001000 00001000 
  210000000  +1               0 1 0 00001001 00001000 00001000 
  210000000  +2               0 1 0 00001001 00001001 00001000 
  215000000  +1               0 1 1 00001001 00001001 00001000 
  215000000  +3               0 1 1 00001001 00001001 00001001 
  220000000  +1               0 1 0 00001010 00001001 00001001 
  220000000  +2               0 1 0 00001010 00001010 00001001 
  225000000  +1               0 1 1 00001010 00001010 00001001 
  225000000  +3               0 1 1 00001010 00001010 00001010 
  230000000  +1               0 1 0 00001011 00001010 00001010 
  230000000  +2               0 1 0 00001011 00001011 00001010 
  235000000  +1               0 1 1 00001011 00001011 00001010 
  235000000  +3               0 1 1 00001011 00001011 00001011 
  240000000  +1               0 1 0 00000000 00001011 00001011 
  240000000  +2               0 1 0 00000000 00000000 00001011 
  245000000  +1               0 1 1 00000000 00000000 00001011 
  245000000  +3               0 1 1 00000000 00000000 00000000 
  250000000  +1               0 1 0 00000001 00000000 00000000 
  250000000  +2               0 1 0 00000001 00000001 00000000 
  255000000  +1               0 1 1 00000001 00000001 00000000 
  255000000  +3               0 1 1 00000001 00000001 00000001 
  260000000  +1               0 1 0 00000010 00000001 00000001 
  260000000  +2               0 1 0 00000010 00000010 00000001 
  265000000  +1               0 1 1 00000010 00000010 00000001 
  265000000  +3               0 1 1 00000010 00000010 00000010 
  270000000  +1               0 1 0 00000011 00000010 00000010 
  270000000  +2               0 1 0 00000011 00000011 00000010 
  275000000  +1               0 1 1 00000011 00000011 00000010 
  275000000  +3               0 1 1 00000011 00000011 00000011 
  280000000  +1               0 1 0 00000100 00000011 00000011 
  280000000  +2               0 1 0 00000100 00000100 00000011 
  285000000  +1               0 1 1 00000100 00000100 00000011 
  285000000  +3               0 1 1 00000100 00000100 00000100 
  290000000  +1               0 1 0 00000101 00000100 00000100 
  290000000  +2               0 1 0 00000101 00000101 00000100 
  295000000  +1               0 1 1 00000101 00000101 00000100 
  295000000  +3               0 1 1 00000101 00000101 00000101 
  300000000  +1               0 1 0 00000110 00000101 00000101 
  300000000  +2               0 1 0 00000110 00000110 00000101 
  305000000  +1               0 1 1 00000110 00000110 00000101 
  305000000  +3               0 1 1 00000110 00000110 00000110 
  310000000  +1               0 1 0 00000111 00000110 00000110 
  310000000  +2               0 1 0 00000111 00000111 00000110 
  315000000  +1               0 1 1 00000111 00000111 00000110 
  315000000  +3               0 1 1 00000111 00000111 00000111 
  320000000  +1               0 1 0 00001000 00000111 00000111 
  320000000  +2               0 1 0 00001000 00001000 00000111 
  325000000  +1               0 1 1 00001000 00001000 00000111 
  325000000  +3               0 1 1 00001000 00001000 00001000 
  330000000  +1               0 1 0 00001001 00001000 00001000 
  330000000  +2               0 1 0 00001001 00001001 00001000 
  335000000  +1               0 1 1 00001001 00001001 00001000 
  335000000  +3               0 1 1 00001001 00001001 00001001 
  340000000  +1               0 1 0 00001010 00001001 00001001 
  340000000  +2               0 1 0 00001010 00001010 00001001 
  345000000  +1               0 1 1 00001010 00001010 00001001 
