         ps       /detector_tb/count       
          delta  /detector_tb/detector     
          0  +0                 UUUU U 
          0  +1                 0000 0 
   10000000  +1                 0001 0 
   20000000  +1                 0010 0 
   30000000  +1                 0011 0 
   40000000  +1                 0100 0 
   50000000  +1                 0101 0 
   60000000  +1                 0110 0 
   70000000  +1                 0111 0 
   80000000  +1                 1000 0 
   90000000  +1                 1001 0 
   90000000  +2                 1001 1 
  100000000  +1                 1010 1 
  100000000  +2                 1010 0 
  110000000  +1                 1011 0 
